"CRN","ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","DAY_OF_WEEK","DEC_LATITUDE","DEC_LONGITUDE","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECTION_RELATED","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROADWAY_CLEARED","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SECONDARY_CRASH","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOTAL_UNITS","TOT_INJ_COUNT","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WEATHER1","WEATHER2","WORKERS_PRES","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","WZ_WORKERS_INJ_KILLED"
"2021008004","","1","0","0","0","0","0","0","0","0","4","0","","67","1","2021","1","40.045866","-74.994623","","6","0","0","0","0","0","0","0","0","","0","0","0","04","","1","","1","","40 02:45.118","","0","74 59:40.643","8","0","0","1","67301","0","0","0","N","0","0","0","2","67301","0","","1.0","","1","N","N","N","0","","0","0","0","","2","","0440","2","1","0","0","0","1","0","2","0","2","","03","","N","","","","","","","","","",""
"2021037564","","0","0","0","0","0","0","0","0","0","7","1","","67","4","2021","1","40.033694","-75.019869","","6","0","0","0","0","0","0","0","0","","0","1","0","05","","0","N","0","","40 02:01.298","1","0","75 01:11.527","0","0","0","0","67301","0","0","0","N","0","0","0","1","68K01","0","","2.0","654.0","9","N","N","N","0","","0","0","0","","0","N","0541","1","0","0","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
"2021036269","","1","0","0","0","0","0","0","0","0","1","0","","67","4","2021","4","39.98665","-75.208385","","6","0","0","0","0","0","0","0","0","","0","0","0","01","","0","","2","","39 59:11.940","","2","75 12:30.186","0","0","0","0","67301","0","0","0","N","0","0","0","1","67301","0","","1.0","","1","N","N","N","0","","0","0","1","","3","","0157","2","0","0","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
"2021012837","","1","0","0","0","0","0","0","0","0","5","0","","67","2","2021","1","40.030986","-75.035924","","6","0","0","0","0","0","0","0","0","","0","0","0","05","","0","N","0","","40 01:51.551","","0","75 02:09.326","0","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1.0","","1","N","N","N","0","","0","0","1","","0","","0511","2","0","0","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
"2021000817","","1","0","0","0","0","0","0","0","0","8","0","","67","1","2021","6","39.999745","-75.138532","","6","0","0","0","0","0","0","0","0","","0","0","0","01","","1","","1","","39 59:59.082","","0","75 08:18.715","2","0","0","0","67301","1","0","1","N","1","0","1","2","67301","0","","1.0","","1","N","N","N","0","","0","1","0","","2","","0120","2","1","0","0","0","0","0","2","0","1","","03","","N","","","","","","","","","",""
"2021035830","","1","0","0","0","0","0","0","0","0","5","0","","67","4","2021","5","39.943613","-75.192474","","6","0","0","0","0","0","0","0","0","","0","0","0","07","","1","N","0","","39 56:37.006","3","0","75 11:32.908","4","0","0","0","67301","0","0","0","N","0","0","0","2","68K01","1","","1.0","804.0","1","N","N","N","0","","0","0","1","","0","N","0736","2","1","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2021002648","","2","0","0","0","0","0","0","0","0","4","0","","67","1","2021","4","40.01889","-75.140438","","6","0","0","0","0","0","0","0","0","","0","0","0","12","","0","","1","","40 01:08.004","","0","75 08:25.576","9","0","0","0","67301","0","0","0","N","0","0","0","5","67301","0","","1.0","","1","N","N","N","1","","0","0","0","","2","","1259","4","0","0","0","0","0","2","2","1","4","","98","","N","","","","","","","","","",""
"2021007734","","1","0","0","0","0","0","0","0","0","4","0","","67","1","2021","1","39.964101","-75.184298","","6","0","0","0","0","0","0","0","0","","0","0","0","02","","1","","2","","39 57:50.764","","8","75 11:03.472","2","0","0","0","67301","0","0","0","N","0","0","0","3","67301","0","","1.0","","1","N","N","N","1","","0","1","0","","2","","0236","2","1","0","0","0","0","2","2","0","2","","03","","N","","","","","","","","","",""
"2021009546","","1","0","0","0","0","0","0","0","0","4","0","","67","1","2021","4","39.911751","-75.172779","","6","0","0","0","0","0","1","0","0","","0","0","0","13","","0","","1","","39 54:42.304","","0","75 10:22.006","0","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1.0","","1","N","N","N","0","","0","0","1","","2","","1316","2","0","0","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
"2021032681","","1","0","0","0","0","0","0","0","0","8","0","","67","4","2021","7","39.987511","-75.138258","","6","0","0","0","0","0","0","0","0","","0","0","0","10","","1","N","0","","39 59:15.040","","7","75 08:17.730","3","0","0","0","67301","1","0","0","N","1","0","0","1","67301","0","","6.0","","1","N","N","N","0","","1","0","0","","2","","1000","2","1","0","0","0","0","0","2","0","1","","04","","N","","","","","","","","","",""
"2021041547","","1","0","0","0","0","0","0","0","0","7","0","","67","5","2021","7","39.969106","-75.155294","","6","0","0","0","0","0","0","0","0","","0","0","0","16","","0","N","0","","39 58:08.780","","0","75 09:19.060","0","0","0","0","67301","0","0","0","N","0","0","0","0","67301","0","","9.0","","1","N","N","N","0","","0","0","0","","0","","1600","1","0","0","0","0","0","0","2","0","1","","03","","N","","","","","","","","","",""
"2021039468","","1","0","0","0","0","0","0","0","0","5","0","","67","1","2021","1","40.002353","-75.134308","","6","0","0","0","0","0","1","0","0","","0","0","0","17","","0","N","0","","40 00:08.470","","0","75 08:03.510","0","0","0","0","67301","0","0","0","N","0","0","0","1","67301","0","","6.0","","1","N","N","N","0","","0","0","1","","0","","1743","2","0","0","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
"2021009908","","0","0","0","0","0","0","0","0","0","2","0","","67","1","2021","6","39.96184","-75.157538","","6","0","0","0","0","0","0","0","0","","0","0","0","14","","1","","5","","39 57:42.623","1","0","75 09:27.136","3","0","0","0","67301","0","0","0","N","0","0","0","4","67301","0","","1.0","1630.0","1","N","N","N","1","","1","0","1","","2","N","1430","3","1","3","0","0","0","0","2","1","3","","03","","N","","","","","","","","","",""
"2021004029","","0","0","0","0","0","0","0","0","0","4","0","","67","1","2021","3","40.104826","-75.001601","","6","0","0","0","0","0","0","1","0","","0","0","0","16","","0","","1","","40 06:17.372","2","0","75 00:05.762","0","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1.0","1645.0","1","N","N","N","0","","0","0","2","","2","N","1617","2","0","0","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
"2021005982","","4","0","0","0","0","0","0","0","0","5","0","","67","1","2021","7","39.922694","-75.243919","","6","0","0","0","0","0","0","0","0","","0","0","0","01","","0","N","0","","39 55:21.700","2","0","75 14:38.110","0","0","0","0","67301","0","0","0","N","0","0","0","1","67301","0","","6.0","200.0","9","N","N","N","0","","0","0","0","","0","N","0130","4","0","0","0","0","0","0","2","0","4","","04","","N","","","","","","","","","",""
